Distance [mm];Mag_B [tesla]
7.76;0.06873266243410475
7.8;0.0695131909653153
7.84;0.0703056058247688
7.88;0.07113397782575365
7.92;0.07196138928666226
7.96;0.07281188428961213
8.0;0.0736692103383264
8.040000000000001;0.07457324422052294
8.08;0.07547729030265699
8.120000000000001;0.07640496006791202
8.16;0.07735259102619853
8.2;0.07831754095109614
8.24;0.07929240494570342
8.28;0.08028821914887778
8.32;0.08131522320587357
8.36;0.0823719331107309
8.4;0.08345301361228696
8.44;0.08455845871093472
8.479999999999999;0.08570635720837562
8.52;0.08687120015160056
8.56;0.08805313630611056
8.6;0.08925437126006693
8.64;0.09048241765204315
8.68;0.09174180640318375
8.72;0.09302298035130684
8.76;0.09434956748065086
8.8;0.09568931017666586
8.84;0.097071062911119
8.88;0.09849218966593468
